Years,ffi_emissions,daccs_uptake,luc_emissions
2005,8.031714196,0,0.533703254
2006,8.253513601,0,0.561858869
2007,8.475313006,0,0.590014484
2008,8.697112411,0,0.618170098
2009,8.918911816,0,0.646325713
2010,9.140711221,0,0.674481327
2011,9.240026865,0,0.727836025
2012,9.339342509,0,0.781190724
2013,9.438658153,0,0.834545422
2014,9.537973797,0,0.88790012
2015,9.637289441,0,0.941254818
2016,9.837463034,0,0.944935235
2017,10.03763663,0,0.948615652
2018,10.23781022,0,0.952296068
2019,10.43798381,0,0.955976485
2020,10.6381574,0,0.959656902
2021,10.49544658,0.000168196,0.794528013
2022,10.35273576,0.000336393,0.629399125
2023,10.21002494,0.000504589,0.464270236
2024,10.06731412,0.000672786,0.299141348
2025,9.924603298,0.000840982,0.134012459
2026,9.911385539,0.0535761,0.025509879
2027,9.898167779,0.106311217,-0.0829927
2028,9.88495002,0.159046334,-0.19149528
2029,9.87173226,0.211781452,-0.29999786
2030,9.858514501,0.264516569,-0.40850044
2031,9.773196625,0.313687462,-0.449964966
2032,9.68787875,0.362858355,-0.491429493
2033,9.602560874,0.412029248,-0.53289402
2034,9.517242999,0.461200141,-0.574358547
2035,9.431925123,0.510371034,-0.615823074
2036,9.273542169,0.583060382,-0.669803099
2037,9.115159214,0.65574973,-0.723783125
2038,8.956776259,0.728439078,-0.77776315
2039,8.798393305,0.801128427,-0.831743175
2040,8.64001035,0.873817775,-0.885723201
2041,8.423746937,0.996766224,-0.844176196
2042,8.207483525,1.119714674,-0.802629191
2043,7.991220112,1.242663124,-0.761082186
2044,7.7749567,1.365611573,-0.719535181
2045,7.558693287,1.488560023,-0.677988176
2046,7.309532603,1.878340733,-0.633176798
2047,7.06037192,2.268121444,-0.588365419
2048,6.811211236,2.657902154,-0.543554041
2049,6.562050553,3.047682864,-0.498742663
2050,6.312889869,3.437463575,-0.453931284
2051,6.087179083,3.888903754,-0.39117321
2052,5.861468296,4.340343934,-0.328415135
2053,5.635757509,4.791784113,-0.26565706
2054,5.410046723,5.243224292,-0.202898986
2055,5.184335936,5.694664471,-0.140140911
2056,4.982410756,6.241487881,-0.114817622
2057,4.780485577,6.788311291,-0.089494333
2058,4.578560397,7.335134701,-0.064171044
2059,4.376635218,7.881958111,-0.038847755
2060,4.174710038,8.42878152,-0.013524466
2061,4.037822598,8.365307672,-0.150072996
2062,3.900935159,8.301833825,-0.286621526
2063,3.764047719,8.238359977,-0.423170055
2064,3.627160279,8.174886129,-0.559718585
2065,3.490272839,8.111412281,-0.696267115
2066,3.384788628,8.047458794,-0.658704424
2067,3.279304417,7.983505307,-0.621141733
2068,3.173820207,7.919551821,-0.583579042
2069,3.068335996,7.855598334,-0.546016352
2070,2.962851785,7.791644847,-0.508453661
2071,2.848996587,7.706398361,-0.475246399
2072,2.735141389,7.621151875,-0.442039137
2073,2.621286191,7.535905389,-0.408831875
2074,2.507430993,7.450658903,-0.375624613
2075,2.393575796,7.365412417,-0.342417351
2076,2.277475186,7.266589701,-0.311895757
2077,2.161374577,7.167766986,-0.281374163
2078,2.045273968,7.06894427,-0.250852568
2079,1.929173359,6.970121555,-0.220330974
2080,1.813072749,6.871298839,-0.189809379
2081,1.697464535,6.765865676,-0.168769021
2082,1.581856321,6.660432513,-0.147728663
2083,1.466248107,6.55499935,-0.126688305
2084,1.350639893,6.449566187,-0.105647946
2085,1.235031678,6.344133025,-0.084607588
2086,1.126392604,6.25355526,-0.086474169
2087,1.01775353,6.162977495,-0.088340749
2088,0.909114456,6.072399731,-0.090207329
2089,0.800475382,5.981821966,-0.092073909
2090,0.691836308,5.891244202,-0.093940489
2091,0.603348017,5.830674033,-0.097118911
2092,0.514859727,5.770103865,-0.100297333
2093,0.426371437,5.709533696,-0.103475754
2094,0.337883146,5.648963528,-0.106654176
2095,0.249394856,5.58839336,-0.109832598
2096,0.169874728,5.533331732,-0.114530585
2097,0.090354601,5.478270104,-0.119228573
2098,0.010834473,5.423208476,-0.123926561
2099,0,5.436832503,-0.128624548
2100,0,5.461291003,-0.133322536
